GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073009504,06073009504,"Census Tract 95.04, San Diego County, California",918700,26939
1400000US06073009505,06073009505,"Census Tract 95.05, San Diego County, California",572400,26222
1400000US06073009506,06073009506,"Census Tract 95.06, San Diego County, California",426300,23259
1400000US06073009507,06073009507,"Census Tract 95.07, San Diego County, California",546500,36953
1400000US06073009509,06073009509,"Census Tract 95.09, San Diego County, California",555000,74197
1400000US06073009510,06073009510,"Census Tract 95.10, San Diego County, California",,
1400000US06073009511,06073009511,"Census Tract 95.11, San Diego County, California",,
1400000US06073009602,06073009602,"Census Tract 96.02, San Diego County, California",379000,41444
1400000US06073009603,06073009603,"Census Tract 96.03, San Diego County, California",233200,18431
1400000US06073009604,06073009604,"Census Tract 96.04, San Diego County, California",431800,16402
1400000US06073009703,06073009703,"Census Tract 97.03, San Diego County, California",430600,18384
1400000US06073009704,06073009704,"Census Tract 97.04, San Diego County, California",487600,30992
1400000US06073009705,06073009705,"Census Tract 97.05, San Diego County, California",573200,31018
1400000US06073009706,06073009706,"Census Tract 97.06, San Diego County, California",630900,28584
1400000US06073009801,06073009801,"Census Tract 98.01, San Diego County, California",437500,22088
1400000US06073009802,06073009802,"Census Tract 98.02, San Diego County, California",414600,32398
1400000US06073009804,06073009804,"Census Tract 98.04, San Diego County, California",443300,11859
1400000US06073009805,06073009805,"Census Tract 98.05, San Diego County, California",487200,33200
1400000US06073009901,06073009901,"Census Tract 99.01, San Diego County, California",,
1400000US06073009902,06073009902,"Census Tract 99.02, San Diego County, California",,
1400000US06073010001,06073010001,"Census Tract 100.01, San Diego County, California",298000,25692
1400000US06073010003,06073010003,"Census Tract 100.03, San Diego County, California",287500,11173
1400000US06073010004,06073010004,"Census Tract 100.04, San Diego County, California",257800,19693
1400000US06073010005,06073010005,"Census Tract 100.05, San Diego County, California",271700,52650
1400000US06073010009,06073010009,"Census Tract 100.09, San Diego County, California",334900,22835
1400000US06073010010,06073010010,"Census Tract 100.10, San Diego County, California",172900,50640
1400000US06073010011,06073010011,"Census Tract 100.11, San Diego County, California",289600,25552
1400000US06073010012,06073010012,"Census Tract 100.12, San Diego County, California",270200,22051
