"long","lat","order","hole","piece","id","group"
-117.191202,32.750519,1825812,FALSE,"1","06073000100","06073000100.1"
-117.191388,32.750633,1825813,FALSE,"1","06073000100","06073000100.1"
-117.191708,32.750829,1825814,FALSE,"1","06073000100","06073000100.1"
-117.191948,32.750976,1825815,FALSE,"1","06073000100","06073000100.1"
-117.192135,32.751091,1825816,FALSE,"1","06073000100","06073000100.1"
-117.192229,32.751143,1825817,FALSE,"1","06073000100","06073000100.1"
-117.192514,32.751303,1825818,FALSE,"1","06073000100","06073000100.1"
-117.192609,32.751357,1825819,FALSE,"1","06073000100","06073000100.1"
-117.192704,32.751413,1825820,FALSE,"1","06073000100","06073000100.1"
-117.192887,32.751525,1825821,FALSE,"1","06073000100","06073000100.1"
-117.192932,32.751638,1825822,FALSE,"1","06073000100","06073000100.1"
-117.193035,32.751733,1825823,FALSE,"1","06073000100","06073000100.1"
-117.193125,32.751802,1825824,FALSE,"1","06073000100","06073000100.1"
-117.193303,32.751899,1825825,FALSE,"1","06073000100","06073000100.1"
-117.193784,32.752068,1825826,FALSE,"1","06073000100","06073000100.1"
-117.193822,32.7521,1825827,FALSE,"1","06073000100","06073000100.1"
-117.19385,32.752123,1825828,FALSE,"1","06073000100","06073000100.1"
-117.193948,32.752183,1825829,FALSE,"1","06073000100","06073000100.1"
-117.193991,32.75221,1825830,FALSE,"1","06073000100","06073000100.1"
-117.194173,32.752324,1825831,FALSE,"1","06073000100","06073000100.1"
-117.194721,32.752665,1825832,FALSE,"1","06073000100","06073000100.1"
-117.194904,32.75278,1825833,FALSE,"1","06073000100","06073000100.1"
-117.178867,32.75765,1825834,FALSE,"1","06073000201","06073000201.1"
-117.177966,32.75765,1825835,FALSE,"1","06073000201","06073000201.1"
-117.177058,32.757652,1825836,FALSE,"1","06073000201","06073000201.1"
-117.175285,32.757917,1825837,FALSE,"1","06073000201","06073000201.1"
-117.175068,32.757949,1825838,FALSE,"1","06073000201","06073000201.1"
-117.174395,32.758052,1825839,FALSE,"1","06073000201","06073000201.1"
-117.173689,32.75817,1825840,FALSE,"1","06073000201","06073000201.1"
-117.171572,32.75853,1825841,FALSE,"1","06073000201","06073000201.1"
-117.171425,32.758554,1825842,FALSE,"1","06073000201","06073000201.1"
-117.170867,32.75865,1825843,FALSE,"1","06073000201","06073000201.1"
-117.170509,32.758415,1825844,FALSE,"1","06073000201","06073000201.1"
-117.170248,32.758243,1825845,FALSE,"1","06073000201","06073000201.1"
-117.170047,32.758111,1825846,FALSE,"1","06073000201","06073000201.1"
-117.16961,32.757824,1825847,FALSE,"1","06073000201","06073000201.1"
-117.168416,32.757038,1825848,FALSE,"1","06073000201","06073000201.1"
-117.168413,32.757011,1825849,FALSE,"1","06073000201","06073000201.1"
-117.168399,32.756833,1825850,FALSE,"1","06073000201","06073000201.1"
-117.168357,32.756274,1825851,FALSE,"1","06073000201","06073000201.1"
-117.168348,32.756155,1825852,FALSE,"1","06073000201","06073000201.1"
-117.168321,32.755803,1825853,FALSE,"1","06073000201","06073000201.1"
-117.168312,32.755687,1825854,FALSE,"1","06073000201","06073000201.1"
-117.168302,32.755499,1825855,FALSE,"1","06073000201","06073000201.1"
-117.168272,32.754938,1825856,FALSE,"1","06073000201","06073000201.1"
-117.168263,32.754751,1825857,FALSE,"1","06073000201","06073000201.1"
-117.168243,32.754555,1825858,FALSE,"1","06073000201","06073000201.1"
-117.168186,32.753968,1825859,FALSE,"1","06073000201","06073000201.1"
