"id","street_name","limits","all_count","northbound_count","southbound_count","eastbound_count","westbound_count","total_count","file_no","count_date"
"03AV083415","03 AV","UNIVERSITY AV - WASHINGTON ST"," ","2074","1133.0","","","3207","0834-15","2015-08-19 00:00:00"
"04AV069311","04 AV","A ST - ASH ST"," ","","10990.0","","","10990","0693-11","2011-08-17 00:00:00"
"04AV002414","04 AV","A ST - ASH ST"," ","","7786.0","","","7786","0024-14","2014-02-11 00:00:00"
"04AV102815","04 AV","ASH ST - BEECH ST"," ","","10460.0","","","10460","1028-15","2015-10-27 00:00:00"
"04AV058607","04 AV","B ST - A ST"," ","","8570.0","","","8570","0586-07","2008-01-08 00:00:00"
"04AV020604","04 AV","BEECH ST - CEDAR ST"," ","","14270.0","","","14270","0206-04","2004-03-09 00:00:00"
"04AV018607","04 AV","BEECH ST - CEDAR ST"," ","","13290.0","","","13290","0186-07","2007-03-13 00:00:00"
"04AV015610","04 AV","BEECH ST - CEDAR ST"," ","","13760.0","","","13760","0156-10","2010-03-17 00:00:00"
"04AV018513","04 AV","BEECH ST - CEDAR ST"," ","","13031.0","","","13031","0185-13","2013-03-12 00:00:00"
"04AV045806","04 AV","BROADWAY  - C ST"," ","","8830.0","","","8830","0458-06","2006-10-09 00:00:00"
"04AV063409","04 AV","BROADWAY  - C ST"," ","","8280.0","","","8280","0634-09","2009-10-08 00:00:00"
"04AV063112","04 AV","BROADWAY  - C ST"," ","","10430.0","","","10430","0631-12","2012-08-07 00:00:00"
"04AV042116","04 AV","BROADWAY  - C ST"," ","","7159.0","","","7159","0421-16","2016-10-25 00:00:00"
"04AV117702","04 AV","C ST - B ST"," ","","15060.0","","","15060","1177-02","2002-11-07 00:00:00"
"04AV046206","04 AV","C ST - B ST"," ","","10500.0","","","10500","0462-06","2006-10-10 00:00:00"
"04AV058707","04 AV","C ST - B ST"," ","","8980.0","","","8980","0587-07","2008-01-08 00:00:00"
"04AV072308","04 AV","C ST - B ST"," ","","10050.0","","","10050","0723-08","2008-12-04 00:00:00"
"04AV065009","04 AV","C ST - B ST"," ","","8790.0","","","8790","0650-09","2009-10-06 00:00:00"
"04AV063012","04 AV","C ST - B ST"," ","","7487.0","","","7487","0630-12","2012-08-07 00:00:00"
"04AV043716","04 AV","C ST - B ST"," ","","8196.0","","","8196","0437-16","2016-10-25 00:00:00"
"04AV023604","04 AV","CEDAR ST - DATE ST"," ","","18330.0","","","18330","0236-04","2004-03-12 00:00:00"
"04AV018507","04 AV","CEDAR ST - DATE ST"," ","","14350.0","","","14350","0185-07","2007-03-13 00:00:00"
"04AV015510","04 AV","CEDAR ST - DATE ST"," ","","10255.0","","","10255","0155-10","2010-03-17 00:00:00"
"04AV018613","04 AV","CEDAR ST - DATE ST"," ","","12542.0","","","12542","0186-13","2013-03-12 00:00:00"
"04AV008705","04 AV","DATE ST - ELM ST"," ","","12960.0","","","12960","0087-05","2005-03-29 00:00:00"
"04AV069211","04 AV","DATE ST - ELM ST"," ","","11090.0","","","11090","0692-11","2011-08-17 00:00:00"
"04AV002514","04 AV","DATE ST - ELM ST"," ","","9105.0","","","9105","0025-14","2014-02-11 00:00:00"
"04AV114714","04 AV","DATE ST - ELM ST"," ","","9124.0","","","9124","1147-14","2014-08-05 00:00:00"
"04AV056315","04 AV","DATE ST - ELM ST"," ","","9566.0","","","9566","0563-15","2015-03-04 00:00:00"
"04AV042216","04 AV","E  ST - BROADWAY "," ","","9333.0","","","9333","0422-16","2016-10-25 00:00:00"
"04AV063509","04 AV","E ST - BROADWAY "," ","","9030.0","","","9030","0635-09","2009-10-06 00:00:00"
"04AV062812","04 AV","E ST - BROADWAY "," ","","10732.0","","","10732","0628-12","2012-08-09 00:00:00"
"04AV014004","04 AV","ELM ST - FIR ST"," ","","7570.0","","","7570","0140-04","2004-02-25 00:00:00"
"04AV117802","04 AV","F ST - E ST"," ","","13830.0","","","13830","1178-02","2002-11-07 00:00:00"
"04AV042016","04 AV","G ST - F  ST"," ","","13209.0","","","13209","0420-16","2016-10-25 00:00:00"
"04AV058306","04 AV","G ST - F ST"," ","","14480.0","","","14480","0583-06","2006-10-09 00:00:00"
"04AV072408","04 AV","G ST - F ST"," ","","13800.0","","","13800","0724-08","2008-12-03 00:00:00"
